ticker,date,time,headline,url,source,sentiment
EBAY,Jun-15-26,11:27AM,Payoneer to be acquired by Nuvei in $2.75B all-cash deal,https://finance.yahoo.com/m/24bf5832-a4fc-310b-b034-9822f7d50558/payoneer-to-be-acquired-by.html,finviz,0.0
EBAY,Jun-15-26,08:01AM,Canada's Nuvei to buy Payoneer for $2.75 billion in cross-border payments push,https://finance.yahoo.com/markets/stocks/articles/canadas-nuvei-buy-payoneer-2-120127235.html,finviz,0.0
EBAY,Jun-14-26,07:30AM,"17,000 coffee makers sold by Amazon and Walmart are being recalled after dozens of reported burn injuries",https://finance.yahoo.com/sectors/technology/articles/17-000-coffee-makers-sold-113000559.html,finviz,0.1779
EBAY,Jun-09-26,07:20AM,UK regulator scrutinises eBay bid for fashion resale app Depop,https://finance.yahoo.com/m/f20c5735-833b-3ea9-85c5-f9a20f6b04de/uk-regulator-scrutinises-ebay.html,finviz,0.0
EBAY,Jun-08-26,02:38PM,UK Watchdog Probes eBays Deal to Buy Depop,https://finance.yahoo.com/m/c9a140b7-f320-3033-ad57-b8eae9f65b3c/uk-watchdog-probes-ebay%E2%80%99s.html,finviz,0.0
EBAY,Jun-08-26,05:09AM,UK watchdog begins formal review of eBay's purchase of Depop,https://finance.yahoo.com/markets/stocks/articles/uk-competition-watchdog-launches-probe-090950858.html,finviz,0.0
EBAY,Jun-07-26,02:53PM,GameStop's Ryan Cohen Is Ready to Talk About eBay. For Real.,https://www.barrons.com/articles/ryan-cohen-ganestop-ebay-buy-1abdd1db?mod=bar_FV,finviz,0.3612
EBAY,Jun-05-26,02:15PM,"GMEs Ryan Cohen Isnt Done Chasing eBay, Remains Committed To Cracking A Deal: Report",https://finance.yahoo.com/m/ae0cab5c-7aaf-3a1b-82af-6bb6e2e8a3df/gme%E2%80%99s-ryan-cohen-isn%E2%80%99t-done.html,finviz,0.2732
EBAY,Jun-05-26,11:44AM,Ryan Cohen Is Ready to Talk About eBay. For Real.,https://www.barrons.com/articles/gamestop-ebay-stock-merger-ryan-cohen-1abdd1db?mod=bar_FV,finviz,0.3612
EBAY,Jun-04-26,08:31AM,Pay by Bank is fragmenting: Thats a sign its working  but theres a catch,https://finance.yahoo.com/m/b5825087-17c0-3ebe-af53-99f15a1b9e8d/pay-by-bank-is-fragmenting%3A.html,finviz,-0.0516
EBAY,Jun-03-26,11:52PM,Benchmark raises its first-ever growth fund as part of $2B capital haul,https://finance.yahoo.com/markets/stocks/articles/benchmark-raises-first-ever-growth-035215078.html,finviz,0.3818
EBAY,Jun-03-26,11:43AM,A $2 Billion Buyback and Record Profits for the Ultimate Meme Stock,https://www.barrons.com/articles/gamestop-earnings-stock-price-ebay-1dc9a246?mod=bar_FV,finviz,0.4404
EBAY,Jun-03-26,11:30AM,"GameStop earnings show record profit, IREN inks data center deal",https://finance.yahoo.com/video/gamestop-earnings-show-record-profit-iren-inks-data-center-deal-153046159.html,finviz,0.4404
EBAY,Jun-03-26,10:28AM,GameStop posts higher first-quarter sales and earnings,https://finance.yahoo.com/m/5a4a8bb3-041c-336b-ac9c-79d1277a8ca5/gamestop-posts-higher.html,finviz,0.0
EBAY,Jun-02-26,05:35PM,GameStop Stock Pops After Record Earnings Report,https://www.barrons.com/articles/gamestop-earnings-stock-price-1dc9a246?mod=bar_FV,finviz,0.0
EBAY,Jun-02-26,04:52PM,"GameStop reports 14% rise in quarterly revenue, unveils $2 billion share buyback",https://finance.yahoo.com/markets/stocks/articles/gamestop-reports-14-rise-quarterly-205253848.html,finviz,0.296
EBAY,May-29-26,04:07PM,Highlights: GameStop & eBay  Activism: Governance from Investor & Board Perspectives: 2nd Princeton CorpGov Forum,https://finance.yahoo.com/markets/stocks/articles/highlights-gamestop-ebay-activism-governance-200733032.html,finviz,0.0
EBAY,May-29-26,08:27AM,GameStop Raises eBay Stake in Takeover Fight,https://finance.yahoo.com/markets/stocks/articles/gamestop-raises-ebay-stake-takeover-122744473.html,finviz,-0.3818
EBAY,May-29-26,12:49AM,GameStop Hits 'Add To Cart' On EBAY Stock Again  Raises Exposure To Over 7% As Ryan Cohen Keeps Pressure On,https://finance.yahoo.com/m/739891d6-e64e-34e5-81df-76710ac859be/gamestop-hits-%27add-to-cart%27.html,finviz,-0.296
EBAY,May-27-26,02:08PM,GameStop's eBay Pursuit Faces Doubts,https://finance.yahoo.com/markets/stocks/articles/gamestops-ebay-pursuit-faces-doubts-180844526.html,finviz,-0.296
EBAY,May-27-26,06:05AM,Analysis-Wall Street awaits GameStop CEO Cohen's next move after eBay rejected takeover bid,https://finance.yahoo.com/markets/stocks/articles/analysis-wall-street-awaits-gamestop-100554726.html,finviz,-0.4588
EBAY,May-26-26,04:25PM,GameStop & eBay  Activism: Governance from Investor & Board Perspectives: 2nd Princeton CorpGov Forum,https://finance.yahoo.com/markets/stocks/articles/gamestop-ebay-activism-governance-investor-202538351.html,finviz,0.0
EBAY,May-26-26,10:21AM,Is eBay Stock A Compounding Engine?,https://finance.yahoo.com/m/36d6f18f-cd4b-387b-bb24-bcbe9239856e/is-ebay-stock-a-compounding.html,finviz,0.0
EBAY,May-23-26,06:34AM,GameStop CEO Questions eBays $2.4 Billion Marketing Spend,https://finance.yahoo.com/m/0abbd708-2319-3897-a00a-1fdad4fc1b38/gamestop-ceo-questions-ebay%E2%80%99s.html,finviz,0.0
EBAY,May-22-26,02:42PM,GameStop Seeks to Boost Share Count as eBay Pursuit Continues After Rejection,https://finance.yahoo.com/m/8f7d4408-2ea7-316b-8280-b3ae11bf6f8b/gamestop-seeks-to-boost-share.html,finviz,0.1027
EBAY,May-22-26,11:38AM,GameStop Seeks Shareholder Approval To More Than Double Its Authorized Shares  A Look At The Important Figures,https://finance.yahoo.com/m/006bf595-385f-3d3f-9007-d5a4a280e108/gamestop-seeks-shareholder.html,finviz,0.7269
EBAY,May-22-26,11:31AM,GameStop seeks investor approval to expand authorized share count to 2.5B,https://finance.yahoo.com/m/f8317f21-549b-3303-a3aa-60d7aa183681/gamestop-seeks-investor.html,finviz,0.765
EBAY,May-21-26,10:41AM,GameStop Raises Economic Exposure to eBay,https://finance.yahoo.com/markets/options/articles/gamestop-raises-economic-exposure-ebay-125602744.html,finviz,0.0
EBAY,May-21-26,10:09AM,Should Ryan Cohen be taken seriously as an eBay investor?,https://finance.yahoo.com/video/should-ryan-cohen-be-taken-seriously-as-an-ebay-investor-140931702.html,finviz,-0.1779
EBAY,May-21-26,12:46AM,"Why Did ARM, SLS, EBAY Stocks Surge To 52-Week Highs?",https://finance.yahoo.com/m/de910bba-c4c8-3cab-a99f-83b251f5fab3/why-did-arm%2C-sls%2C-ebay-stocks.html,finviz,0.0
EBAY,May-20-26,01:12PM,GameStop boosts eBay stake to 6.6% amid takeover push,https://finance.yahoo.com/markets/stocks/articles/gamestop-boosts-ebay-stake-6-171249957.html,finviz,0.3182
EBAY,May-20-26,01:06PM,What's Going On With GameStop (GME) Stock Wednesday,https://finance.yahoo.com/markets/stocks/articles/whats-going-gamestop-gme-stock-170607736.html,finviz,0.0
EBAY,May-20-26,12:31PM,GameStop Discloses Increased Stake in eBay Following Failed Takeover Bid,https://www.barrons.com/articles/gamestop-ebay-stock-price-takeover-bid-0d4a2d94?mod=bar_FV,finviz,-0.296
EBAY,May-20-26,10:50AM,GameStop increases eBay stake to 6.5%,https://finance.yahoo.com/video/gamestop-increases-ebay-stake-to-65-145007583.html,finviz,0.0
EBAY,May-20-26,10:24AM,GameStop increases stake in eBay to more than 6%,https://finance.yahoo.com/markets/stocks/articles/gamestop-increases-stake-ebay-more-142422122.html,finviz,0.0
EBAY,May-20-26,09:16AM,GameStop Increases eBay Stake to Over 6%,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-05-20-2026/card/gamestop-increases-ebay-stake-to-over-6--hJUAOxUhjxnquqhEWFVv?mod=wsj_FV,finviz,0.0
EBAY,May-17-26,08:30AM,Ryan Cohen's eBay bid has been absurd all along,https://finance.yahoo.com/markets/article/ryan-cohens-ebay-bid-has-been-absurd-all-along-123000449.html,finviz,0.0
EBAY,May-16-26,03:53PM,SuperDS Announces Expansion of Multi-Supplier Listing Automation and Inventory Management Infrastructure for eBay Sellers,https://finance.yahoo.com/sectors/technology/articles/superds-announces-expansion-multi-supplier-195300099.html,finviz,0.0
EBAY,May-15-26,05:42PM,GameStop's $56 Billion eBay Bid Faces Major Credit Rating Doubts,https://finance.yahoo.com/markets/stocks/articles/gamestops-56-billion-ebay-bid-214209644.html,finviz,0.1102
EBAY,May-14-26,11:56AM,Debunking GameStop CEO Ryan Cohen's bizarre eBay claims,https://finance.yahoo.com/video/debunking-gamestop-ceo-ryan-cohens-bizarre-ebay-claims-155655017.html,finviz,-0.3182
EBAY,May-14-26,06:17AM,GameStops Ryan Cohen Presses Ahead With Hostile Pursuit of eBay (GME),https://finance.yahoo.com/m/745333da-2716-3449-909e-36cd43c87385/gamestop%E2%80%99s-ryan-cohen-presses.html,finviz,-0.3818
EBAY,May-14-26,06:01AM,eBay rejects GameStops neither credible nor attractive offer,https://finance.yahoo.com/m/56ba176e-c6a2-3e83-9f40-94640e5a9fce/ebay-rejects-gamestop%E2%80%99s.html,finviz,-0.2868
EBAY,May-14-26,05:27AM,GameStop plans shareholder appeal after eBay rejection  report,https://finance.yahoo.com/m/cbbaa585-afb5-3078-945b-e9bd65eec60d/gamestop-plans-shareholder.html,finviz,-0.5423
EBAY,May-14-26,04:15AM,GameStop CEO Calls eBay Leadership a Bunch of Losers After Bid Rejection,https://finance.yahoo.com/m/2fc96f5f-5fb0-3fa7-b1ca-a99d5aa01d16/gamestop-ceo-calls-ebay.html,finviz,-0.7845
EBAY,May-13-26,06:55PM,"Ryan Cohen hits back at eBay, says his takeover proposal should not be dismissed",https://finance.yahoo.com/markets/stocks/articles/ryan-cohen-says-ebay-directors-225553526.html,finviz,0.0
EBAY,May-13-26,10:49AM,How Low Can Shopify Stock Go?,https://finance.yahoo.com/m/d268b21e-7420-3632-b3bf-234a26945ab0/how-low-can-shopify-stock-go%3F.html,finviz,-0.2732
EBAY,May-13-26,10:44AM,GameStop CEO Ryan Cohen: EBay 'Needs to Be on Ozempic-It's Literally Obese',https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-05-13-2026/card/gamestop-ceo-ryan-cohen-ebay-needs-to-be-on-ozempic-it-s-literally-obese--WaGiTgroCnCVY0thBY69?mod=wsj_FV,finviz,0.0
EBAY,May-13-26,09:43AM,"eBay Rejects GameStops $56 Billion Bid, Calling the Offer Neither Credible Nor Attractive",https://finance.yahoo.com/m/a4b3d055-15ec-37d2-ba91-aad5a4621666/ebay-rejects-gamestop%E2%80%99s-%2456.html,finviz,-0.2868
EBAY,May-13-26,08:43AM,GameStop's eBay Bid May Just Be Starting,https://finance.yahoo.com/news/gamestops-ebay-bid-may-just-124355129.html,finviz,0.0
EBAY,May-13-26,08:30AM,eBay said no to GameStop. Preloved Fashion May Have Dodged A Bullet.,https://finance.yahoo.com/m/9866d8e2-3d05-3204-b476-5da8ad44f1c5/ebay-said-no-to-gamestop..html,finviz,-0.296
EBAY,May-13-26,07:40AM,"People are paying $5,000 for a pack of Pokemon cards at GameStop. For some, it's paying off big time",https://finance.yahoo.com/news/people-paying-5-000-pack-114000382.html,finviz,0.0
EBAY,May-13-26,05:23AM,GameStop makes big bet that governance doesnt matter,https://finance.yahoo.com/news/gamestop-makes-big-bet-governance-092322318.html,finviz,-0.0191
EBAY,May-13-26,04:45AM,GameStop Is Chasing a Meme-Stock Sequel. Nobody Is Buying It This Time.,https://www.barrons.com/articles/gamestop-ebay-meme-stock-sequel-ce4789fe?mod=bar_FV,finviz,0.0
EBAY,May-13-26,03:00AM,GameStop's eBay Gambit Relies on an Old Playbook. But a Lot Has Changed Since 2021.,https://www.barrons.com/articles/gamestops-ebay-gambit-relies-on-an-old-playbook-but-a-lot-has-changed-since-2021-ce4789fe?mod=bar_FV,finviz,0.0
EBAY,May-12-26,11:37PM,EBay rejects GameStop's bid as 'neither credible nor attractive',https://finance.yahoo.com/video/ebay-rejects-gamestops-bid-neither-033735052.html,finviz,-0.2868
EBAY,May-12-26,04:34PM,EBay rejects GameStop's $56-billion takeover offer,https://finance.yahoo.com/news/ebay-rejects-gamestops-56-billion-203439508.html,finviz,-0.4939
EBAY,May-12-26,02:33PM,"EBay rejects GameStop's $56 billion takeover bid, calling it 'neither credible nor attractive'",https://www.youtube.com/shorts/_X2iP0yMZjM,finviz,-0.2868
EBAY,May-12-26,01:33PM,Squawk Pod: Ron Baron's Multi-Billion dollar bet on Elon Musk - 05/12/26  Audio Only,https://www.youtube.com/watch?v=5TbE6CNaPYE,finviz,0.0
EBAY,May-12-26,01:28PM,GameStop Takeover Dream Crashes After eBay Rejection,https://finance.yahoo.com/markets/stocks/articles/gamestop-takeover-dream-crashes-ebay-172806552.html,finviz,-0.3612
EBAY,May-12-26,01:24PM,eBay rejects GameStop's $56B bid,https://finance.yahoo.com/m/417cc57b-ccdd-39d5-a08c-34f29dc64399/ebay-rejects-gamestop%27s-%2456b.html,finviz,-0.4939
EBAY,May-12-26,01:23PM,Ebay is right to flip the bird at media-hungry GameStop overlord Ryan Cohen,https://finance.yahoo.com/markets/article/ebay-is-right-to-flip-the-bird-at-media-hungry-gamestop-overlord-ryan-cohen-172317936.html,finviz,0.0
EBAY,May-12-26,01:03PM,eBay Calls GameStop's Bid Neither Credible Nor Attractive,https://finance.yahoo.com/markets/stocks/articles/ebay-calls-gamestops-bid-neither-170352464.html,finviz,0.2594
