Date,Close,High,Low,Open,Volume
2019-01-02,0.028201783046767237,0.021358528404235036,0.0316522074277425,0.02705050722396557,0.18738343468412139
2019-01-03,0.020171629737376448,0.018454856888097948,0.025623479150373683,0.025498547738822985,0.46059467068735127
2019-01-04,0.02097998337673107,0.0148644017707142,0.026123380887407947,0.021783241599499625,0.35818154534346125
2019-01-07,0.022671482837365142,0.016213046234404643,0.025783892732079323,0.021551709173636607,0.3523577456535875
2019-01-08,0.021991312679400563,0.016803736960094462,0.026757582383893953,0.023888689767137233,0.2334664827822756
2019-01-09,0.02562716241078354,0.018504682329859592,0.028428935899941353,0.02327732709665757,0.34905640153491063
2019-01-10,0.026780953403562874,0.019888925335334415,0.03085761026010774,0.02586394907435008,0.18200981828315813
2019-01-11,0.027154848590707728,0.020725145584137447,0.032707995982690315,0.02726034814661578,0.1145823656774544
2019-01-14,0.027261688696807646,0.020248325961622043,0.031432121484706206,0.02678282681525128,0.15274075873748597
2019-01-15,0.029262987496236625,0.024034482520317993,0.033711540571126304,0.028465008464233207,0.2509879022173313
2019-01-16,0.0275572509034325,0.022301534342674595,0.03346905230705815,0.03007124497437909,0.14549495151597436
2019-01-17,0.028849897065246877,0.022301516500261576,0.032484141238259025,0.027488241147869727,0.2217402799711311
2019-01-18,0.030804902593020878,0.02393482578104189,0.035573118205817815,0.03076942360447192,0.21802448139599692
2019-01-22,0.029903995271596193,0.023052369942829026,0.0347897169907169,0.03036066725497659,0.2360461044853976
2019-01-23,0.029629768224951447,0.023568316459047667,0.03432335660497541,0.03091775931803875,0.1975661519332871
2019-01-24,0.03177708594370529,0.025646449095880305,0.036692334092742425,0.03147849817836651,0.2277784526557241
2019-01-25,0.0333403937076394,0.026201568402934597,0.0370318258739687,0.03295449963567637,0.18729053971974302
2019-01-28,0.03322643092779952,0.0263937228449814,0.03618869429970758,0.03164852977250261,0.1943434112460073
2019-01-29,0.032763506426559716,0.02594892779337718,0.03812118191165504,0.0337431503535464,0.16969051685329026
2019-01-30,0.034365976573098894,0.028137357837626734,0.039441829744701,0.03470181642640943,0.175814438735771
2019-01-31,0.03345078282764438,0.027158786168845844,0.039061301043751905,0.03490439863963289,0.12104928435148597
2019-02-01,0.03293798317960468,0.026660596055290628,0.0385166203820228,0.034394311329571575,0.1340188505320023
2019-02-04,0.03482890107433868,0.027564443982707368,0.03853900689177888,0.03379739913355398,0.1188912628713119
2019-02-05,0.034073963380379074,0.028450492835819047,0.04038941050544278,0.03541086486924434,0.13216809701092586
2019-02-06,0.036285360516862944,0.030361357512031936,0.04144890257256991,0.03588476151373951,0.1639310290618323
2019-02-07,0.03374991047879422,0.02842914832977242,0.03904264467278825,0.03573645359695972,0.17523563165002892
2019-02-08,0.035519734704638345,0.02832949659278465,0.0393261588950062,0.03373588808280038,0.14134326118491097
2019-02-11,0.03611088376381798,0.02893800035660085,0.041646639802234535,0.03629357119145234,0.09924755078853532
2019-02-12,0.03741779991904223,0.030500164876782865,0.04305684530725904,0.037831078912091615,0.11208849317222012
2019-02-13,0.038105076320126885,0.031129998550551444,0.04339633143233262,0.03831945131630342,0.10766526371451234
2019-02-14,0.03816918038378683,0.03137198118580181,0.04376194081221078,0.03853651392582058,0.08497745510672203
2019-02-15,0.038322313761541715,0.03181678928065844,0.0437022517482168,0.03979907574448445,0.09453134490471121
2019-02-19,0.038226153558396814,0.03136841841264443,0.04420960904766493,0.038735478538573065,0.07881065862529744
2019-02-20,0.03885287490972658,0.03272060067582398,0.045004224065646116,0.03949516635127147,0.08594213358295878
2019-02-21,0.03796976194968696,0.031553455988219306,0.0437544759101045,0.03949156852423136,0.06524799382605775
2019-02-22,0.036388618747817916,0.03036134762023289,0.04216144750252646,0.03830133456950821,0.16508149746682577
2019-02-25,0.03713644198334751,0.030656697666160873,0.04358655721117972,0.038601591495596096,0.10805828087149767
2019-02-26,0.035854492155108095,0.02965325157772901,0.042083134643803304,0.037570597088590216,0.16498145673595677
2019-02-27,0.03460455738980378,0.02861773937940698,0.04026629948525338,0.03586668870123316,0.17880851489535024
2019-02-28,0.035982700282427976,0.028834820021237717,0.039911910368485716,0.03469097515499937,0.19534381855469726
2019-03-01,0.03505325297418353,0.02970662402217139,0.04084455932679958,0.03749824777185544,0.10655766990846273
2019-03-04,0.035815321557193094,0.029144396902900035,0.040743831710984134,0.03651063284665762,0.09474571789943048
2019-03-05,0.03657026746646269,0.030517954337304823,0.04211298159587331,0.036691515741456515,0.12559399183953465
