Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,Volatility_20,Return_1d,Return_3d,Return_5d,Target
2021-10-07,41.84000015258789,42.84000015258789,41.68000030517578,42.23699951171875,2895400,42.602000045776364,45.11499984741211,42.85545208710691,46.051628884204256,-0.4659461556738762,-0.3225266106854127,-0.1434195449884635,46.23558531770136,38.96841477385137,17.058284906908884,0.033568976503352194,-0.005230651771752637,0.0222330769759862,-0.005703461692572409,0
2021-10-08,41.77999877929688,42.060001373291016,41.04999923706055,41.79999923706055,3688900,42.632500076293944,45.254199829101566,42.753027962553574,45.86583297138442,-0.4913195792436227,-0.3562852043970547,-0.135034374846568,46.22752890264196,39.03747124994593,16.865202931634077,0.03356266656368955,-0.0014340672340389382,-0.005474876253885208,-0.0028640272604263384,1
2021-10-11,42.06999969482422,42.46799850463867,41.0099983215332,41.172000885009766,3733200,42.7060001373291,45.39259979248047,42.68797765134126,46.979255095674446,-0.4824659824628199,-0.38152136001020776,-0.10094462245261215,46.19020621757868,39.22179405707952,16.317173554280263,0.03339198883869551,0.00694114226903797,0.00023771567300889807,0.02785241585996956,0
2021-10-12,40.52999877929688,42.04999923706055,40.5,42.0,3718000,42.73150005340576,45.449599761962894,42.482455854003696,42.03495045816946,-0.5928802918366003,-0.42379314637548626,-0.16908714546111403,46.14341572544031,39.31958438137121,15.969089162656806,0.034334814433318595,-0.03660567926547431,-0.03130978414229246,-0.03522969772359441,0
2021-10-13,40.52000045776367,40.83000183105469,39.86000061035156,40.619998931884766,3914400,42.66400012969971,45.32399978637695,42.29555534007608,42.00404174104873,-0.6734283457208505,-0.47372018624455914,-0.1997081594762914,46.19283178480913,39.13516847459029,16.542432235053806,0.032656933887036575,-0.00024668941116079424,-0.03015793102793418,-0.03661438100915704,1
2021-10-14,40.93000030517578,41.790000915527344,40.54999923706055,40.59000015258789,3823500,42.613000106811526,44.7347998046875,42.16550247960938,43.82806797826327,-0.6961548577087342,-0.5182071205373942,-0.17794773717134005,46.210449328121946,39.015550885501106,16.884280441617538,0.03274885185999322,0.010118456139690313,-0.027097680007558633,-0.02174951826227045,1
2021-10-15,41.02999877929688,41.70000076293945,40.86000061035156,41.64099884033203,2579600,42.54549999237061,44.53599975585937,42.05735927005581,44.28829715401,-0.6980500545476076,-0.5541757073394369,-0.14387434720817072,46.20797685486199,38.88302312987923,17.216753184934472,0.03265737322450494,0.002443158401551626,0.012336541205508311,-0.017951173334443626,0
2021-10-18,40.650001525878906,41.25,40.310001373291016,40.95000076293945,4008900,42.543000030517575,44.24879981994629,41.923325199181825,42.851509209861504,-0.7218930802119914,-0.5877191819139478,-0.1341738982980436,46.210577047456134,38.87542301357902,17.241741364302836,0.031456211210389856,-0.009261449298646252,0.0032083185253353186,-0.03375322508309908,1
2021-10-19,41.70000076293945,41.79999923706055,40.540000915527344,40.90999984741211,4529200,42.51350002288818,43.94619979858398,41.90205620525398,47.88278477216087,-0.6485861887566173,-0.5998925832824817,-0.04869360547413559,46.19819377080885,38.82880627496751,17.334229108104125,0.030730539569818707,0.02583023856449529,0.018812617933606557,0.028867555363466302,1
2021-10-20,41.83000183105469,42.43999862670898,41.02000045776367,41.89300155639648,4057600,42.261000061035155,43.7039998626709,41.89519388390166,48.48746928466089,-0.5733902633649421,-0.5945921192989738,0.021201855934031677,45.35972734382025,39.162272778250056,14.664713463050013,0.017105804665035373,0.0031175315524398783,0.019498003303901612,0.03232974724806592,0
