Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,Volatility_20,Return_1d,Return_3d,Return_5d,Target
2020-12-09,28.68,28.85,25.33,26.63,79634716,22.2025,15.1078,22.573626575321686,64.24275872934777,3.6992374790610185,3.5464007674977553,0.15283671156326317,31.901606917649723,12.50339308235028,87.36950269248707,0.10082816331961549,-0.06855543896467298,0.11656184486373156,0.18302976454908926,1
2020-12-10,25.5412,28.04,25.15,27.04,57774823,22.7565,15.458599999999999,22.998995472910096,64.95958077681914,3.6010769939923293,3.55733601279667,0.04374098119565906,32.22917285405765,13.28382714594235,83.25245845413531,0.0979542255928005,0.015396169733383314,-0.06565307532826548,0.1252600915522264,1
2020-12-11,27.15,28.27,26.06,27.2,52764350,23.3875,15.8134,23.399091142156756,65.25232872727383,3.495896249348853,3.545048060107107,-0.04915181075825403,32.25974858759045,14.51525141240955,75.87171427121712,0.09422947761004992,0.00591715976331364,-0.048618398041273214,0.14046121593291394,1
2020-12-14,28.26,28.26,26.7301,27.24,44734521,23.9595,16.1742,23.764891985760876,65.33031159472965,3.3768412927267732,3.5114067066310404,-0.13456541390426713,32.25783591751989,15.661164082480104,69.26969191777702,0.09381613933194284,0.0014705882352941124,0.022906496432594903,-0.0587422252937112,0
2020-12-15,26.82,27.1,25.52,26.43,49273241,24.4845,16.522199999999998,24.018711796640794,62.282091008621244,3.1804667108407934,3.445218707472991,-0.2647519966321976,31.973557283797525,16.995442716202476,61.17386333229206,0.09469251452690186,-0.029735682819383213,-0.0225591715976331,-0.07555089192025188,0
2020-12-16,25.71,26.16,25.11,25.92,44013392,24.888,16.8426,24.199786863627388,60.372072448927526,2.949683585877814,3.3461116831539557,-0.3964280972761416,31.746829637773548,18.029170362226456,55.117563787958424,0.09277104434415158,-0.01929625425652659,-0.04705882352941171,-0.026661659782200475,1
2020-12-17,26.52,27.45,26.05,27.23,53829804,25.354499999999998,17.1872,24.48837859090097,63.47091163638268,2.83975739297658,3.244840825118481,-0.40508343214190123,31.4785198399418,19.230480160058196,48.307163146122406,0.09284767510438827,0.050540123456790154,-0.00036710719530097524,0.007026627218934989,0
2020-12-18,26.27,26.85,25.8,25.97,71042932,25.704,17.5066,24.629485391767545,58.71503140262659,2.6207581547436867,3.1200242910435225,-0.49926613629983585,31.08581530712462,20.322184692875382,41.875313625308266,0.09376993225819705,-0.046272493573264795,-0.017404464623533844,-0.04522058823529418,1
2020-12-21,26.19,28.7,25.4,28.51,76729131,26.221999999999998,17.8778,24.99905821159921,64.49120186172607,2.621932447812007,3.0204059223972197,-0.39847347458521254,30.470856787419514,21.97314321258048,32.40680945327982,0.09407100434868665,0.09780515979976911,0.09992283950617287,0.04662261380323063,0
2020-12-22,29.03,29.42,26.82,28.04,66196470,26.572000000000003,18.2408,25.288671715256427,62.7419400676145,2.55548002844602,2.92742074360698,-0.37194071516096017,30.157133749248548,22.986866250751458,26.984297375045497,0.08912533200405671,-0.016485443703963654,0.02974660301138443,0.060915626182368454,1
2020-12-23,28.95,29.39,28.05,28.69,58772227,26.815499999999997,18.6252,25.612607742374863,64.18862999614652,2.5261457394447966,2.8471657427745436,-0.321020003329747,30.2793849576741,23.351615042325893,25.83494589080274,0.08501695665140807,0.023181169757489295,0.10473623411628807,0.10686728395061729,0
2020-12-24,28.7976,29.16,27.52,27.75,26306795,26.7505,18.993399999999998,25.816168909767732,60.5283585177953,2.399389293766408,2.7576104529729166,-0.35822115920650877,30.090808219311644,23.410191780688354,24.973800260269115,0.07009148835356573,-0.03276402927849431,-0.026657313223430457,0.019096584649283876,0
2020-12-28,28.39,28.59,25.4,25.63,55079013,26.649,19.3078,25.798438537408902,53.16503345308443,2.1036184113258827,2.62681204464351,-0.5231936333176272,29.995956229173146,23.302043770826856,25.11881293236628,0.07139428083916743,-0.0763963963963964,-0.08594864479315267,-0.01309202926453601,0
2020-12-29,25.75,26.1823,24.34,24.66,47302415,26.5265,19.6068,25.690015819560436,50.15840768732694,1.7705373107092228,2.4555570978566528,-0.68501978714743,29.974805525907023,23.078194474092975,25.998948416919117,0.07174984666689449,-0.03784627389777595,-0.14046706169397005,-0.13504033672395654,1
2020-12-30,24.97,25.91,24.63,25.1,34586667,26.498,19.9174,25.633823836745155,51.49831793743199,1.5244989861724179,2.269345475519806,-0.7448464893473883,29.983372863841247,23.012627136158756,26.306686269463697,0.07085859324662629,0.017842660178426728,-0.09549549549549541,-0.10485021398002847,0
2020-12-31,24.63,24.72,23.52,23.55,39922546,26.55,20.203,25.435364423721808,46.732210477338626,1.190713985624523,2.0536191775407495,-0.8629051919162265,29.82021711817441,23.279782881825593,24.63440390338537,0.06638318973811852,-0.06175298804780882,-0.08115489660554032,-0.17915650052283028,0
2021-01-04,23.91,24.5,22.5,23.37,44970355,26.517000000000003,20.4864,25.238663050034017,46.19750479983722,0.9012731562992577,1.8231499732924514,-0.9218768169931937,29.899656352631897,23.13434364736811,25.513115002691812,0.06471740361172239,-0.007643312101910826,-0.05231143552311435,-0.15783783783783778,1
2021-01-05,23.18,24.67,22.89,24.6,29050437,26.5545,20.7848,25.177837997649824,50.37589015444515,0.7623520147333167,1.6109903815806246,-0.8486383668473079,29.8330879582529,23.2759120417471,24.69327577813854,0.06571717996067115,0.05263157894736836,-0.019920318725099584,-0.04018728053062803,0
2021-01-06,24.12,24.46,23.25,23.54,32732892,26.284499999999998,21.0658,25.02185342644508,46.98909746355662,0.5602644876975127,1.4008452028040024,-0.8405807151064897,29.62169328178649,22.947306718213504,25.392861053369813,0.04404264894134437,-0.043089430894309055,-0.00042462845010626804,-0.04541768045417682,1
2021-01-07,24.02,25.19,23.67,25.0,32240048,26.105,21.366799999999998,25.019772147736024,51.79615414876726,0.5120162601031062,1.2230794142638233,-0.7110631541607171,29.310448486561732,22.89955151343827,24.558119031309957,0.04683016353694366,0.062022090059473234,0.06974753958065882,-0.003984063745020028,1
2021-01-08,25.7,26.44,24.7,25.2,41313824,26.033500000000004,21.6518,25.036936705094497,52.432489847183405,0.4843344150065967,1.075330414412378,-0.5909959994057814,29.25268172832801,22.814318271671997,24.731071337530537,0.04448811152057673,0.008000000000000007,0.024390243902439046,0.07006369426751591,1
2021-01-11,24.61,26.6,24.31,25.93,32608983,25.977999999999998,21.9534,25.121990352228355,54.77899933727288,0.5153604974522779,0.9633364310203582,-0.4479759335680803,29.16396045173208,22.792039548267915,24.528142672508142,0.04486650484731839,0.028968253968254087,0.10152931180968561,0.1095421480530594,1
2021-01-12,26.34,26.42,25.51,26.18,26688460,25.927,22.261999999999997,25.222753175825655,55.587022146856235,0.5537386475455932,0.8814168743254052,-0.32767822677981195,29.06538238587985,22.78861761412015,24.209375445518962,0.04490506992617803,0.009641342074816706,0.04719999999999991,0.06422764227642275,0
2021-01-13,25.71,27.4298,25.13,25.5,51216556,25.839999999999996,22.5694,25.24915763527083,52.82228272495209,0.5232515725754503,0.8097838139754143,-0.286532241399964,28.92396498034606,22.756035019653932,23.869697990294615,0.04524496534651517,-0.025974025974025983,0.011904761904761862,0.08326253186066279,0
2021-01-14,25.45,25.62,24.37,24.92,32908003,25.764499999999998,22.857000000000003,25.21780928905456,50.514471030032674,0.4471349004754721,0.7372540312754259,-0.2901191307999538,28.860900975326174,22.668099024673822,24.036181376127434,0.04504869237114702,-0.02274509803921565,-0.03895102198225986,-0.0031999999999999806,1
2021-01-15,26.26,28.0,25.46,25.64,92285513,25.7505,23.1598,25.25801792819222,53.245318797062296,0.43983967418089875,0.6777711598565206,-0.23793148567562183,28.846494024542178,22.65450597545782,24.046088616082635,0.04536148266310493,0.028892455858748,-0.02062643239113826,0.01746031746031762,1
2021-01-19,26.81,27.54,26.0,26.62,48675845,25.72,23.477800000000002,25.38773050645963,56.74429457047849,0.5072882612813778,0.643674580141492,-0.1363863188601142,28.76875056375573,22.671249436244267,23.707236110075677,0.04472439041303593,0.038221528861154486,0.043921568627451,0.02661010412649456,0
