Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,Volatility_20,Return_1d,Return_3d,Return_5d,Target
2019-03-14,29.5878924578,29.593905646,29.3413517423,29.5307671701,14778360,29.553046077959998,29.018023338282,29.37460722273456,54.72246917778985,0.11600694542114098,0.14426967745444463,-0.02826273203330365,30.173709665158704,28.93238249076129,4.200335799980924,0.009692649895966245,-0.0028274260332389334,0.0027416734381522367,0.013340174450414022,1
2019-03-15,29.5488067346,29.6180485966,29.3443583364,29.5908990519,43800135,29.559491698100004,29.051582725363996,29.39520644455984,55.82228551161704,0.1202772611817764,0.139471194199911,-0.0191939330181346,30.178915067055975,28.940068329144033,4.191028555445597,0.009615970650037666,0.0020362451626683153,0.005907077463207733,0.013946912695665725,1
2019-03-18,29.5548199228,29.9967892543,29.5427935464,29.9637167193,17310363,29.562598339465,29.095469304932,29.44935028024938,61.98740284830688,0.15199270983319124,0.14197549732656706,0.010017212506624185,30.189432340500243,28.93576433842976,4.240723320983873,0.009442135154564806,0.012599065231039708,0.011792086351479325,0.017442834196300883,1
2019-03-19,30.0629343243,30.2132640289,29.9366573725,30.020842007,16243281,29.53551669056,29.13702945963,29.50377806374944,62.843050097079164,0.1796658881676798,0.1495135754947896,0.030152312672890202,30.017215758956567,29.053817622163436,3.2618292982192787,0.007929162972424256,0.0019064820374303793,0.016595398083535162,0.020522471901950556,0
2019-03-20,29.8254133911,29.9306441843,29.626978181,29.6570441219,18969366,29.524934453645,29.164734650268002,29.51837483119235,54.43891325692489,0.1702787648244204,0.15366661336071577,0.016612151463704622,29.985737125003048,29.06413178228695,3.121447548556105,0.006644245504342867,-0.012118177265486807,0.00223531802409882,0.0014365984106154972,1
2019-03-21,29.5397869524,29.8043672324,29.494688041,29.7833210738,19652928,29.527992685039997,29.191017976130002,29.543607806678793,56.608081870255106,0.17105705734437748,0.1571447021574481,0.013912355186929376,29.994763632146682,29.061221737933312,3.1615487858283635,0.006628361256723442,0.004257907544021,-0.0060204695962768895,0.008552229687947666,0
2019-03-22,29.6390045574,29.9246309961,29.4465825355,29.5488067346,20124393,29.516932833524997,29.214465098818,29.54410294267129,51.686482995375464,0.1510097659370011,0.1559177149133587,-0.004907948976357601,29.970539059427544,29.06332660762245,3.0735322566262457,0.006851912435292701,-0.00787401574924762,-0.01572358537744989,-0.00142247510716631,0
2019-03-25,29.4044902182,29.6510309338,29.3533781187,29.5157341996,16222275,29.510648838745,29.236832106766002,29.541401157616882,51.012900858582086,0.1309440246812308,0.15092297686693312,-0.019978952185702337,29.960650865694866,29.06064681179513,3.049760304551846,0.006791449731696066,-0.0011192511189046517,-0.00476480129709389,-0.014950832832144823,1
2019-03-26,29.5728594874,29.7201825979,29.4736418823,29.560833111,14838867,29.51304927302,29.260818802726,29.543251819843846,51.93281132344933,0.11732839669016926,0.14420406083158036,-0.0268756641414111,29.96358397925356,29.062514566786437,3.0531220414789724,0.0067292821115529046,0.0015279616998520318,-0.007470220068765854,-0.015322984475010348,0
2019-03-27,29.5067144173,29.723189192,28.5626438725,29.2271011668,25413516,29.507435436650002,29.277472959165998,29.51314223383967,45.17266694777017,0.07870131486139087,0.13110351163754247,-0.0524021967761516,29.96914570858655,29.045725164713456,3.1294503578787767,0.007082026811491989,-0.01128966639562723,-0.010887260886352501,-0.014497161393859592,0
