model,test_accuracy,test_auc,cv_accuracy_mean,cv_auc_mean
LightGBM,0.5139090008383508,0.5110149308418064,0.5052233156699469,0.503472355744482
XGBoost,0.523283286334883,0.5185116173427327,0.506030784759021,0.5026177338896017
