Price,Close,High,Low,Open,Volume
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO
Date,,,,,
2019-01-02,20.95941162109375,21.057796660173295,20.379020314262096,20.57413776345893,30346000
2019-01-03,19.095050811767578,20.383155360589477,19.042964609760347,20.21945519273696,68580000
2019-01-04,19.282726287841797,19.548946224663663,19.153750257533222,19.370364514062913,54248000
2019-01-07,19.67544174194336,19.8622913288203,19.07851464138508,19.317450429129153,53433000
2019-01-08,19.517526626586914,19.99953287167968,19.294298726165394,19.85154058584095,36795000
2019-01-09,20.361661911010742,20.394731842500605,19.664695482598546,19.711820647475903,52971000
2019-01-10,20.62953758239746,20.71634793955683,20.202925783250546,20.302963484203786,29594000
2019-01-11,20.716344833374023,20.910636002877876,20.612998735031347,20.62209450369652,20158000
2019-01-14,20.74114990234375,20.79985136074012,20.33024600131485,20.512962470931257,25498000
2019-01-15,21.205791473388672,21.679529921827683,20.835399117071276,20.897405826182514,39247000
2019-01-16,20.809770584106445,21.276895393720977,20.781660117140042,21.26449278950855,24484000
2019-01-17,21.10988426208496,21.276891248200855,20.563389199733507,20.674176839806513,35154000
2019-01-18,21.563777923583984,21.656375597475265,21.247952362759765,21.424053521418845,34634000
2019-01-22,21.3546142578125,21.45134512133199,21.074339021074046,21.330636937915305,37156000
2019-01-23,21.29094696044922,21.571220536399792,20.970986634790105,21.457953950342045,31771000
2019-01-24,21.78948974609375,22.05405549036368,21.49598722210281,21.58610439652878,35999000
2019-01-25,22.152442932128906,22.183032342136986,21.571223641803712,21.92342762969291,30333000
2019-01-28,22.12598419189453,22.22767765472927,21.384373165615262,21.62496317054285,31320000
2019-01-29,22.01850700378418,22.12433362631729,21.812641115178295,22.103664721378436,27870000
2019-01-30,22.390552520751953,22.63279516574959,22.105316284766296,22.322756875807816,28727000
2019-01-31,22.178071975708008,22.405433062738535,22.020985474313587,22.369054721116612,21063000
2019-02-01,22.05901527404785,22.289683184082893,21.90027615192353,22.252480106793747,22878000
2019-02-04,22.498029708862305,22.49968391487829,21.905237334894036,22.116062658912135,20761000
2019-02-05,22.322755813598633,22.7055491948991,22.31531425160412,22.484801778963256,22619000
2019-02-06,22.8361759185791,23.14952098073116,22.55011342566432,22.59310543104643,27064000
